item,itemLabel,image
http://www.wikidata.org/entity/Q123,September,http://commons.wikimedia.org/wiki/Special:FilePath/Breviarium%20Grimani%20-%20September.jpg
http://www.wikidata.org/entity/Q124,October,http://commons.wikimedia.org/wiki/Special:FilePath/Breviarium%20Grimani%20-%20Oktober.jpg
http://www.wikidata.org/entity/Q125,November,http://commons.wikimedia.org/wiki/Special:FilePath/Breviarium%20Grimani%20-%20November.jpg
http://www.wikidata.org/entity/Q126,December,http://commons.wikimedia.org/wiki/Special:FilePath/Breviarium%20Grimani%20-%20Dezember.jpg
http://www.wikidata.org/entity/Q283,water,http://commons.wikimedia.org/wiki/Special:FilePath/IceBirdWithFledgling.jpg
http://www.wikidata.org/entity/Q309,history,http://commons.wikimedia.org/wiki/Special:FilePath/Nikolaos%20Gyzis%20-%20Historia.jpg
http://www.wikidata.org/entity/Q316,love,http://commons.wikimedia.org/wiki/Special:FilePath/DickseeRomeoandJuliet.jpg
http://www.wikidata.org/entity/Q349,sport,http://commons.wikimedia.org/wiki/Special:FilePath/Youth-soccer-indiana.jpg
http://www.wikidata.org/entity/Q573,day,http://commons.wikimedia.org/wiki/Special:FilePath/GreenwUhrWelt.jpg
http://www.wikidata.org/entity/Q799,wisdom,http://commons.wikimedia.org/wiki/Special:FilePath/Rodin%20le%20penseur.JPG
http://www.wikidata.org/entity/Q2979,liberty,http://commons.wikimedia.org/wiki/Special:FilePath/Eug%C3%A8ne%20Delacroix%20-%20Le%2028%20Juillet.%20La%20Libert%C3%A9%20guidant%20le%20peuple.jpg
http://www.wikidata.org/entity/Q2979,liberty,http://commons.wikimedia.org/wiki/Special:FilePath/Liberty%20Bell%202017a.jpg
http://www.wikidata.org/entity/Q2979,liberty,http://commons.wikimedia.org/wiki/Special:FilePath/Statue%20of%20Liberty%207.jpg
http://www.wikidata.org/entity/Q3010,boy,http://commons.wikimedia.org/wiki/Special:FilePath/Giulio%20del%20Torre%20Zwei%20Kartenspieler.jpg
http://www.wikidata.org/entity/Q3914,school,http://commons.wikimedia.org/wiki/Special:FilePath/BogdanovBelsky%20UstnySchet.jpg
http://www.wikidata.org/entity/Q3918,university,http://commons.wikimedia.org/wiki/Special:FilePath/Raffael%20058.jpg
http://www.wikidata.org/entity/Q7434,uniform,http://commons.wikimedia.org/wiki/Special:FilePath/Ronald%20McNair%2C%20Guion%20Bluford%2C%20and%20Fred%20Gregory%20%28S79-36529%2C%20restoration%29.jpg
http://www.wikidata.org/entity/Q7569,child,http://commons.wikimedia.org/wiki/Special:FilePath/Little%20girl%20of%20Don%20Som.jpg
http://www.wikidata.org/entity/Q9165,soul,http://commons.wikimedia.org/wiki/Special:FilePath/Meister%20von%20Heiligenkreuz%20001.jpg
http://www.wikidata.org/entity/Q10874,blindness,http://commons.wikimedia.org/wiki/Special:FilePath/Watch%20for%20the%20blind.jpg
http://www.wikidata.org/entity/Q11028,information,http://commons.wikimedia.org/wiki/Special:FilePath/Structure%20of%20the%20Universe.jpg
http://www.wikidata.org/entity/Q11660,artificial intelligence,http://commons.wikimedia.org/wiki/Special:FilePath/Nicolas%20P.%20Rougier%27s%20rendering%20of%20the%20human%20brain.png
http://www.wikidata.org/entity/Q13228,cream,http://commons.wikimedia.org/wiki/Special:FilePath/Cream%20Drop.jpg
http://www.wikidata.org/entity/Q13228,cream,http://commons.wikimedia.org/wiki/Special:FilePath/Milk-bottle.jpg
http://www.wikidata.org/entity/Q18237,instinct,http://commons.wikimedia.org/wiki/Special:FilePath/Tigre%20d%27Asie%20%C3%A0%20robe%20blanche.jpg
http://www.wikidata.org/entity/Q29485,error,http://commons.wikimedia.org/wiki/Special:FilePath/Poles%20inside%20rail%20lines.jpg
http://www.wikidata.org/entity/Q32090,lifestyle,http://commons.wikimedia.org/wiki/Special:FilePath/Anjuna%20hippie%20market%2001.JPG
http://www.wikidata.org/entity/Q34442,road,http://commons.wikimedia.org/wiki/Special:FilePath/Slezsk%C3%A9%20Beskydy%20-%20Ryt%C3%AD%C5%99sk%C3%A1%20stezka%20%28cesta%20N%C3%BDdek%20-%20Velk%C3%A1%20%C4%8Cantoryje%29.JPG
http://www.wikidata.org/entity/Q34516,imagination,http://commons.wikimedia.org/wiki/Special:FilePath/Imagination-Warner-Highsmith.jpeg
http://www.wikidata.org/entity/Q34812,New Year,http://commons.wikimedia.org/wiki/Special:FilePath/New%20Year%202016%20in%20the%20city%20of%20Helsinki.jpg
http://www.wikidata.org/entity/Q36348,dream,http://commons.wikimedia.org/wiki/Special:FilePath/Dickensdream.jpg
http://www.wikidata.org/entity/Q43229,organization,http://commons.wikimedia.org/wiki/Special:FilePath/ExecutiveComitee-IAU-2018-2021.jpg
http://www.wikidata.org/entity/Q45529,ghost,http://commons.wikimedia.org/wiki/Special:FilePath/Athenodorus%20-%20The%20Greek%20Stoic%20Philosopher%20Athenodorus%20Rents%20a%20Haunted%20House.jpg
http://www.wikidata.org/entity/Q45701,waste,http://commons.wikimedia.org/wiki/Special:FilePath/Aterro%20Sanitario.jpg
http://www.wikidata.org/entity/Q45701,waste,http://commons.wikimedia.org/wiki/Special:FilePath/Waste%20in%20Sierra%20Leone.jpg
http://www.wikidata.org/entity/Q47054,riddle,http://commons.wikimedia.org/wiki/Special:FilePath/Oidipous%20sphinx%20MGEt%2016541%20reconstitution.svg
http://www.wikidata.org/entity/Q60960,tail,http://commons.wikimedia.org/wiki/Special:FilePath/Korean%20language%20in%20south%20korean%20and%20north%20korean.png
http://www.wikidata.org/entity/Q79871,anger,http://commons.wikimedia.org/wiki/Special:FilePath/A%20frontal%20outline%20and%20a%20profile%20of%20faces%20expressing%20anger.%20E%20Wellcome%20V0009398.jpg
http://www.wikidata.org/entity/Q79871,anger,http://commons.wikimedia.org/wiki/Special:FilePath/Anger%20Controlls%20Him.jpg
http://www.wikidata.org/entity/Q81054,storm,http://commons.wikimedia.org/wiki/Special:FilePath/Cloud%20cumulonimbus%20at%20baltic%20sea%281%29.jpg
http://www.wikidata.org/entity/Q120877,cloning,http://commons.wikimedia.org/wiki/Special:FilePath/Cloned%20mice%20with%20different%20DNA%20methylation.png
http://www.wikidata.org/entity/Q120877,cloning,http://commons.wikimedia.org/wiki/Special:FilePath/Human%20cell-line%20colony%20being%20cloned%20in%20vitro%20through%20use%20of%20cloning%20rings.jpg
http://www.wikidata.org/entity/Q120877,cloning,http://commons.wikimedia.org/wiki/Special:FilePath/Salvia-mothers-and-daughters.JPG
http://www.wikidata.org/entity/Q124490,violence,http://commons.wikimedia.org/wiki/Special:FilePath/Grandville%20Cent%20Proverbes%20page69.png
http://www.wikidata.org/entity/Q131596,farm,http://commons.wikimedia.org/wiki/Special:FilePath/07070020boerderijloobergen.JPG
http://www.wikidata.org/entity/Q132911,elevator,http://commons.wikimedia.org/wiki/Special:FilePath/20110712%20bruxelles018.jpg
http://www.wikidata.org/entity/Q132911,elevator,http://commons.wikimedia.org/wiki/Special:FilePath/20110712%20bruxelles021.jpg
http://www.wikidata.org/entity/Q160402,perception,http://commons.wikimedia.org/wiki/Special:FilePath/Perception.svg
http://www.wikidata.org/entity/Q162244,hero,http://commons.wikimedia.org/wiki/Special:FilePath/Watts-galahad.JPG
http://www.wikidata.org/entity/Q170774,miracle,http://commons.wikimedia.org/wiki/Special:FilePath/Codex%20Egberti%20fol.%2090r.jpg
http://www.wikidata.org/entity/Q173799,entertainment,http://commons.wikimedia.org/wiki/Special:FilePath/Metropolitan%20Opera%20House%2C%20a%20concert%20by%20pianist%20Josef%20Hofmann%20-%20NARA%20541890%20-%20Edit.jpg
http://www.wikidata.org/entity/Q178354,reason,http://commons.wikimedia.org/wiki/Special:FilePath/Filos%20segundo%20logo%20%28flipped%29.jpg
http://www.wikidata.org/entity/Q179875,debate,http://commons.wikimedia.org/wiki/Special:FilePath/Petrus%20alphonsi%20dialogues.jpg
http://www.wikidata.org/entity/Q185030,genius,http://commons.wikimedia.org/wiki/Special:FilePath/Relief%20t%C3%AAte%20de%20genie%20ail%C3%A9%20palais%20d%27Asurbanipal%20II%20%C3%A0%20Nimroud%20%28Khalu%29.jpg
http://www.wikidata.org/entity/Q189004,college,http://commons.wikimedia.org/wiki/Special:FilePath/Carnegie%20Building.jpg
http://www.wikidata.org/entity/Q192906,revelation,http://commons.wikimedia.org/wiki/Special:FilePath/Hildegard%20von%20Bingen.jpg
http://www.wikidata.org/entity/Q208195,pleasure,http://commons.wikimedia.org/wiki/Special:FilePath/EdisonDelights1905.jpg
http://www.wikidata.org/entity/Q208195,pleasure,http://commons.wikimedia.org/wiki/Special:FilePath/Flock%20of%20Seagulls%20%28eschipul%29.jpg
http://www.wikidata.org/entity/Q208195,pleasure,http://commons.wikimedia.org/wiki/Special:FilePath/Socrates-Alcibiades-crop.png
http://www.wikidata.org/entity/Q215627,person,http://commons.wikimedia.org/wiki/Special:FilePath/Paul%20Klee%20WI%20%28In%20Memoriam%29%201938.jpg
http://www.wikidata.org/entity/Q327245,team,http://commons.wikimedia.org/wiki/Special:FilePath/Rugby%20union%20scrummage.jpg
http://www.wikidata.org/entity/Q327245,team,http://commons.wikimedia.org/wiki/Special:FilePath/Team%20work.jpg
http://www.wikidata.org/entity/Q327245,team,http://commons.wikimedia.org/wiki/Special:FilePath/Type%2091%20SAM%20fire.JPG
http://www.wikidata.org/entity/Q355242,showman,http://commons.wikimedia.org/wiki/Special:FilePath/Marchands%20forains.jpg
http://www.wikidata.org/entity/Q379833,lesson,http://commons.wikimedia.org/wiki/Special:FilePath/Estamos%20en%20el%20sal%C3%B3n.jpg
http://www.wikidata.org/entity/Q443533,dryer,http://commons.wikimedia.org/wiki/Special:FilePath/Getreidetrockner%20BMK.jpg
http://www.wikidata.org/entity/Q516992,cloak,http://commons.wikimedia.org/wiki/Special:FilePath/Cloak%20%28drawing%29.jpg
http://www.wikidata.org/entity/Q516992,cloak,http://commons.wikimedia.org/wiki/Special:FilePath/Fashion%20Plate%20Manteau%201823.jpg
http://www.wikidata.org/entity/Q618532,landlord,http://commons.wikimedia.org/wiki/Special:FilePath/Powerful%20landlord%20in%20chariot.%20Eastern%20Han%2025-220%20CE.%20Anping%2C%20Hebei.jpg
http://www.wikidata.org/entity/Q626225,teamwork,http://commons.wikimedia.org/wiki/Special:FilePath/UNICEF%20DSC03709%20%2821074874624%29.jpg
http://www.wikidata.org/entity/Q673661,abstraction,http://commons.wikimedia.org/wiki/Special:FilePath/SchwarzesQuadrat.jpeg
http://www.wikidata.org/entity/Q687900,cool,http://commons.wikimedia.org/wiki/Special:FilePath/Cool%20Smoker.jpg
http://www.wikidata.org/entity/Q707125,threat,http://commons.wikimedia.org/wiki/Special:FilePath/Jusepe%20Leonardo%20001.jpeg
http://www.wikidata.org/entity/Q736922,intimate relationship,http://commons.wikimedia.org/wiki/Special:FilePath/Lesbian%20couple%20holding%20hands.jpg
http://www.wikidata.org/entity/Q775842,desire,http://commons.wikimedia.org/wiki/Special:FilePath/Jacob%20Jordaens%20-%20Susanna%20and%20the%20Elders%20-%20Google%20Art%20Project.jpg
http://www.wikidata.org/entity/Q815577,ignorance,http://commons.wikimedia.org/wiki/Special:FilePath/A%20Christmas%20Carol%20-%20Ignorance%20and%20Want.jpg
http://www.wikidata.org/entity/Q847950,dormitory,http://commons.wikimedia.org/wiki/Special:FilePath/Teachers%27%20dormitory%2C%20University%20of%20Chittagong%20%2801%29.jpg
http://www.wikidata.org/entity/Q874405,social group,http://commons.wikimedia.org/wiki/Special:FilePath/Saami%20Family%201900.jpg
http://www.wikidata.org/entity/Q877674,touch,http://commons.wikimedia.org/wiki/Special:FilePath/Touchingapieceofthemoon.jpg
http://www.wikidata.org/entity/Q913668,shyness,http://commons.wikimedia.org/wiki/Special:FilePath/Hermann%20Kaulbach%20Die%20Sch%C3%BCchterne.jpg
http://www.wikidata.org/entity/Q949149,sanitation,http://commons.wikimedia.org/wiki/Special:FilePath/Corotes%20saiwaedje%20Oucaymeden.jpg
http://www.wikidata.org/entity/Q1043452,maintenance,http://commons.wikimedia.org/wiki/Special:FilePath/Bundesarchiv%20Bild%20183-E0208-0005-001%2C%20Reparatur%20eines%20Traktors.jpg
http://www.wikidata.org/entity/Q1121708,failure,http://commons.wikimedia.org/wiki/Special:FilePath/Train%20wreck%20at%20Montparnasse%201895.jpg
http://www.wikidata.org/entity/Q1156402,reasoning,http://commons.wikimedia.org/wiki/Special:FilePath/Auguste%20Rodin%20-%20Grubleren%202005-02.jpg
http://www.wikidata.org/entity/Q1347864,walking stick,http://commons.wikimedia.org/wiki/Special:FilePath/Bengala%20-%20Celenia%20Pires%20Ferreira%20MN%2002.jpg
http://www.wikidata.org/entity/Q1347864,walking stick,http://commons.wikimedia.org/wiki/Special:FilePath/Walking%20stick.jpg
http://www.wikidata.org/entity/Q1371819,plan,http://commons.wikimedia.org/wiki/Special:FilePath/Aftakking%20KW%20linie%2007.jpg
http://www.wikidata.org/entity/Q1430466,escape,http://commons.wikimedia.org/wiki/Special:FilePath/Cape%20Mountain%20Zebras%20%28Equus%20zebra%20zebra%29%20running%20away%20...%20%2832191820110%29.jpg
http://www.wikidata.org/entity/Q1549811,generosity,http://commons.wikimedia.org/wiki/Special:FilePath/Ali%20Khamenei%20in%20Birjand%20-%20Welcomed%20by%20children%20%286%29.jpg
http://www.wikidata.org/entity/Q1782301,study,http://commons.wikimedia.org/wiki/Special:FilePath/Studying%20books.jpg
http://www.wikidata.org/entity/Q2001588,palm,http://commons.wikimedia.org/wiki/Special:FilePath/Myhand.jpg
http://www.wikidata.org/entity/Q2095549,aircraft pilot,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Aviatrix%2C%20Cover%20of%20The%20Queenslander%20Pictorial%2C%201936%20%285098777518%29.jpg
